PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
91,105,1,7,8,1,1,6,10
96,96,1,9,7,1,1,9,10
97,98,0,10,6,1,1,6,11
92,102,0,7,8,2,1,7,11
84,105,0,11,7,1,1,10,11
98,95,0,9,7,1,1,8,11
96,100,0,7,8,1,1,7,10
96,97,0,10,7,1,1,8,10
92,104,0,7,8,1,1,6,11
92,103,0,9,7,1,1,6,11
91,103,0,9,6,1,1,8,11
101,97,0,7,8,1,1,6,9
94,101,0,7,8,1,1,7,11
96,100,0,7,8,1,1,7,10
95,100,0,10,7,1,1,8,8
91,104,0,9,8,1,1,6,10
92,100,0,9,9,1,1,7,11
94,101,0,10,7,1,1,6,10
98,97,0,7,8,2,1,6,11
98,96,0,8,8,2,1,7,10
90,103,0,7,8,2,1,8,11
96,101,0,7,7,1,1,6,11
96,95,0,9,8,1,1,9,11
97,97,0,8,8,2,1,6,11
92,103,0,7,7,1,1,8,11
94,100,0,10,7,1,1,6,11
90,106,0,7,8,1,1,6,11
100,95,0,8,8,2,1,8,8
93,104,0,7,6,2,1,7,10
92,103,0,7,8,2,1,6,11
94,99,0,9,8,2,1,6,11
96,97,0,9,8,2,1,6,11
97,97,0,8,8,2,1,6,11
97,100,0,7,5,1,1,8,11
97,99,0,7,8,1,1,7,10
95,101,0,7,7,2,1,7,10
98,97,0,7,8,2,1,6,11
97,98,0,9,7,1,1,6,11
99,95,0,9,7,1,1,7,11
96,102,0,7,7,1,1,7,9
93,101,0,10,7,1,1,6,11
92,99,0,8,8,2,1,9,11
91,102,0,9,8,1,1,8,10
95,101,0,7,7,2,1,7,10
99,97,0,9,6,1,1,6,11
95,103,0,7,6,1,1,7,10
97,98,0,7,8,2,1,6,11
95,100,0,9,8,1,1,6,10
96,100,0,7,8,1,1,6,11
94,97,0,9,8,1,1,9,11
91,103,0,9,8,1,1,6,11
96,97,0,9,7,1,1,9,10
95,102,0,7,7,1,1,6,11
93,101,0,7,8,1,1,8,11
94,103,0,7,7,1,1,7,10
96,97,0,9,9,1,1,6,11
90,105,0,7,7,2,1,8,10
90,103,0,8,8,2,1,8,10
93,98,1,9,8,2,1,8,10
94,104,0,7,6,1,1,6,11
90,104,0,7,9,2,1,6,11
86,107,0,10,8,1,1,6,11
91,104,0,9,7,2,1,6,10
89,104,0,8,7,2,1,8,11
93,101,0,10,7,1,1,7,10
91,103,1,9,7,2,1,6,10
91,102,0,9,8,2,1,9,8
97,99,0,7,8,1,1,6,11
98,97,0,10,6,1,1,8,9
91,105,0,7,7,2,1,6,11
98,98,0,7,8,1,1,6,11
94,100,0,7,7,1,1,9,11
94,100,0,10,6,1,1,7,11
90,104,0,7,7,1,1,9,11
92,102,0,9,8,1,1,7,10
94,100,0,9,8,1,1,6,11
